word_address,word,mnemonic,operands,decode_status
0x01F6,0x2A35,goto,0x235,instruction
0x01F7,0x1186,bcf,"0x06, 3",instruction
0x01F8,0x01B3,clrf,0x33,instruction
0x01F9,0x01B8,clrf,0x38,instruction
0x01FA,0x01B7,clrf,0x37,instruction
0x01FB,0x01B5,clrf,0x35,instruction
0x01FC,0x01B4,clrf,0x34,instruction
0x01FD,0x3400,retlw,0x00,instruction
0x01FE,0x130B,bcf,"0x0B, 6",instruction
0x01FF,0x138B,bcf,"0x0B, 7",instruction
0x0200,0x1B8B,btfsc,"0x0B, 7",instruction
0x0201,0x29FF,goto,0x1FF,instruction
0x0202,0x301F,movlw,0x1F,instruction
0x0203,0x0588,andwf,"0x08, F",instruction
0x0204,0x3001,movlw,0x01,instruction
0x0205,0x1683,bsf,"0x03, 5",instruction
0x0206,0x00D7,movwf,0x57,instruction
0x0207,0x08D7,movf,"0x57, F",instruction
0x0208,0x1903,btfsc,"0x03, 2",instruction
0x0209,0x2A1D,goto,0x21D,instruction
0x020A,0x1283,bcf,"0x03, 5",instruction
0x020B,0x1287,bcf,"0x07, 5",instruction
0x020C,0x0856,movf,"0x56, W",instruction
0x020D,0x1683,bsf,"0x03, 5",instruction
0x020E,0x0557,andwf,"0x57, W",instruction
0x020F,0x1903,btfsc,"0x03, 2",instruction
0x0210,0x2A14,goto,0x214,instruction
0x0211,0x1283,bcf,"0x03, 5",instruction
0x0212,0x1687,bsf,"0x07, 5",instruction
0x0213,0x1683,bsf,"0x03, 5",instruction
0x0214,0x1283,bcf,"0x03, 5",instruction
0x0215,0x1108,bcf,"0x08, 2",instruction
0x0216,0x1508,bsf,"0x08, 2",instruction
0x0217,0x3020,movlw,0x20,instruction
0x0218,0x0788,addwf,"0x08, F",instruction
0x0219,0x1003,bcf,"0x03, 0",instruction
0x021A,0x1683,bsf,"0x03, 5",instruction
0x021B,0x0DD7,rlf,"0x57, F",instruction
0x021C,0x2A07,goto,0x207,instruction
0x021D,0x30C0,movlw,0xC0,instruction
0x021E,0x1283,bcf,"0x03, 5",instruction
0x021F,0x048B,iorwf,"0x0B, F",instruction
0x0220,0x3400,retlw,0x00,instruction
0x0221,0x30BF,movlw,0xBF,instruction
0x0222,0x1683,bsf,"0x03, 5",instruction
0x0223,0x0081,movwf,0x01,instruction
0x0224,0x1283,bcf,"0x03, 5",instruction
0x0225,0x0181,clrf,0x01,instruction
0x0226,0x110B,bcf,"0x0B, 2",instruction
0x0227,0x303F,movlw,0x3F,instruction
0x0228,0x1683,bsf,"0x03, 5",instruction
0x0229,0x0085,movwf,0x05,instruction
0x022A,0x30D1,movlw,0xD1,instruction
0x022B,0x0086,movwf,0x06,instruction
0x022C,0x3080,movlw,0x80,instruction
0x022D,0x0087,movwf,0x07,instruction
0x022E,0x301B,movlw,0x1B,instruction
0x022F,0x0088,movwf,0x08,instruction
0x0230,0x1409,bsf,"0x09, 0",instruction
0x0231,0x1489,bsf,"0x09, 1",instruction
0x0232,0x1109,bcf,"0x09, 2",instruction
